designator,x_mm,y_mm,rotation,moved_from_plan_mm,reason
R17,22.900,7.500,270,0.00,"byte 1 15 ohm series for DQ11, above its finger (TL0)"
R13,15.367,11.684,90,0.47,U2 ZQ 240 ohm at ball B9 (5 pF max load)
C7,25.146,17.145,90,0.40,U2 VREFCA at ball J1 (Table 9)
C8,25.146,14.116,90,0.32,"U2 VDD/VDDQ, right-hand VDD balls (Table 9)"
C9,15.367,15.367,90,0.27,"U2 VDD/VDDQ, left-hand VDD balls (Table 9)"
C10,19.939,22.098,0,0.49,"U2 1.0 uF VDD, above the DRAM (Table 9 note 2)"
C11,25.400,9.506,90,1.88,U2 VPP at ball B1 (Table 9)
C12,15.367,18.650,90,0.70,U2 VPP at ball M9 (Table 9)
U3,31.160,15.300,180,0.00,"byte 2 DRAM, lane 28.0, TL3/TL4 fly-by spacing"
R26,25.450,5.000,270,0.00,"byte 2 15 ohm series for DQ16, above its finger (TL0)"
R28,31.400,5.000,270,0.00,"byte 2 15 ohm series for DQ18, above its finger (TL0)"
R30,23.750,5.000,270,0.00,"byte 2 15 ohm series for DQ20, above its finger (TL0)"
R31,29.700,5.000,270,0.00,"byte 2 15 ohm series for DQ22, above its finger (TL0)"
R35,27.150,5.000,270,0.00,"byte 2 15 ohm series for DM2, above its finger (TL0)"
R36,24.600,7.500,270,0.00,"byte 2 15 ohm series for DQ21, above its finger (TL0)"
R27,26.300,7.500,270,0.00,"byte 2 15 ohm series for DQ17, above its finger (TL0)"
R34,27.775,7.500,270,0.00,"byte 2 15 ohm series for DQS2_C, above its finger (TL0)"
R33,29.075,7.500,270,0.00,"byte 2 15 ohm series for DQS2_T, above its finger (TL0)"
R32,30.550,7.500,270,0.00,"byte 2 15 ohm series for DQ23, above its finger (TL0)"
R29,32.250,7.500,270,0.00,"byte 2 15 ohm series for DQ19, above its finger (TL0)"
R25,26.289,11.557,90,0.37,U3 ZQ 240 ohm at ball B9 (5 pF max load)
C13,36.068,16.891,90,0.31,U3 VREFCA at ball J1 (Table 9)
C14,36.068,13.589,90,0.60,"U3 VDD/VDDQ, right-hand VDD balls (Table 9)"
C15,26.289,15.602,90,0.41,"U3 VDD/VDDQ, left-hand VDD balls (Table 9)"
C16,30.988,21.971,0,0.32,"U3 1.0 uF VDD, above the DRAM (Table 9 note 2)"
C17,36.322,9.779,90,1.62,U3 VPP at ball B1 (Table 9)
C18,26.289,19.812,270,0.58,U3 VPP at ball M9 (Table 9)
U4,42.090,15.300,180,0.00,"byte 3 DRAM, lane 37.3, TL3/TL4 fly-by spacing"
R38,34.800,5.000,270,0.00,"byte 3 15 ohm series for DQ24, above its finger (TL0)"
R40,40.750,5.000,270,0.00,"byte 3 15 ohm series for DQ26, above its finger (TL0)"
R42,33.100,5.000,270,0.00,"byte 3 15 ohm series for DQ28, above its finger (TL0)"
R43,39.050,5.000,270,0.00,"byte 3 15 ohm series for DQ30, above its finger (TL0)"
R47,36.500,5.000,270,0.00,"byte 3 15 ohm series for DM3, above its finger (TL0)"
R48,33.950,7.500,270,0.00,"byte 3 15 ohm series for DQ29, above its finger (TL0)"
R39,35.650,7.500,270,0.00,"byte 3 15 ohm series for DQ25, above its finger (TL0)"
R46,37.125,7.500,270,0.00,"byte 3 15 ohm series for DQS3_C, above its finger (TL0)"
R45,38.425,7.500,270,0.00,"byte 3 15 ohm series for DQS3_T, above its finger (TL0)"
R44,39.900,7.500,270,0.00,"byte 3 15 ohm series for DQ31, above its finger (TL0)"
R41,41.600,7.500,270,0.00,"byte 3 15 ohm series for DQ27, above its finger (TL0)"
R37,37.211,11.557,90,0.38,U4 ZQ 240 ohm at ball B9 (5 pF max load)
C19,47.371,17.380,90,0.83,U4 VREFCA at ball J1 (Table 9)
C20,47.371,14.224,90,0.69,"U4 VDD/VDDQ, right-hand VDD balls (Table 9)"
C21,37.211,15.367,90,0.29,"U4 VDD/VDDQ, left-hand VDD balls (Table 9)"
C22,42.037,21.971,0,0.28,"U4 1.0 uF VDD, above the DRAM (Table 9 note 2)"
C23,47.752,10.033,90,1.65,U4 VPP at ball B1 (Table 9)
C24,37.211,19.304,90,0.28,U4 VPP at ball M9 (Table 9)
U5,87.910,15.300,180,0.00,"byte 4 DRAM, lane 92.6, TL3/TL4 fly-by spacing"
R50,90.050,5.000,270,0.00,"byte 4 15 ohm series for DQ32, above its finger (TL0)"
R52,96.000,5.000,270,0.00,"byte 4 15 ohm series for DQ34, above its finger (TL0)"
R54,88.350,5.000,270,0.00,"byte 4 15 ohm series for DQ36, above its finger (TL0)"
R55,94.300,5.000,270,0.00,"byte 4 15 ohm series for DQ38, above its finger (TL0)"
R59,91.750,5.000,270,0.00,"byte 4 15 ohm series for DM4, above its finger (TL0)"
R60,89.200,7.500,270,0.00,"byte 4 15 ohm series for DQ37, above its finger (TL0)"
R51,90.900,7.500,270,0.00,"byte 4 15 ohm series for DQ33, above its finger (TL0)"
R58,92.375,7.500,270,0.00,"byte 4 15 ohm series for DQS4_C, above its finger (TL0)"
R57,93.675,7.500,270,0.00,"byte 4 15 ohm series for DQS4_T, above its finger (TL0)"
R56,95.150,7.500,270,0.00,"byte 4 15 ohm series for DQ39, above its finger (TL0)"
R53,96.850,7.500,270,0.00,"byte 4 15 ohm series for DQ35, above its finger (TL0)"
R49,82.931,11.684,90,0.54,U5 ZQ 240 ohm at ball B9 (5 pF max load)
C25,92.837,17.399,90,0.60,U5 VREFCA at ball J1 (Table 9)
C26,92.837,14.078,90,0.33,"U5 VDD/VDDQ, right-hand VDD balls (Table 9)"
C27,82.931,15.367,90,0.38,"U5 VDD/VDDQ, left-hand VDD balls (Table 9)"
C28,87.884,22.225,0,0.53,"U5 1.0 uF VDD, above the DRAM (Table 9 note 2)"
C29,92.837,11.557,90,0.42,U5 VPP at ball B1 (Table 9)
C30,82.677,18.923,90,0.74,U5 VPP at ball M9 (Table 9)
U6,98.840,15.300,180,0.00,"byte 5 DRAM, lane 102.0, TL3/TL4 fly-by spacing"
R62,99.400,5.000,270,0.00,"byte 5 15 ohm series for DQ40, above its finger (TL0)"
R64,105.350,5.000,270,0.00,"byte 5 15 ohm series for DQ42, above its finger (TL0)"
R66,97.700,5.000,270,0.00,"byte 5 15 ohm series for DQ44, above its finger (TL0)"
R67,103.650,5.000,270,0.00,"byte 5 15 ohm series for DQ46, above its finger (TL0)"
R71,101.100,5.000,270,0.00,"byte 5 15 ohm series for DM5, above its finger (TL0)"
R72,98.550,7.500,270,0.00,"byte 5 15 ohm series for DQ45, above its finger (TL0)"
R63,100.250,7.500,270,0.00,"byte 5 15 ohm series for DQ41, above its finger (TL0)"
R70,101.725,7.500,270,0.00,"byte 5 15 ohm series for DQS5_C, above its finger (TL0)"
R69,103.025,7.500,270,0.00,"byte 5 15 ohm series for DQS5_T, above its finger (TL0)"
R68,104.500,7.500,270,0.00,"byte 5 15 ohm series for DQ47, above its finger (TL0)"
R65,106.200,7.500,270,0.00,"byte 5 15 ohm series for DQ43, above its finger (TL0)"
R61,93.980,11.557,90,0.37,U6 ZQ 240 ohm at ball B9 (5 pF max load)
C31,103.759,17.145,270,0.40,U6 VREFCA at ball J1 (Table 9)
C32,103.759,13.716,90,0.50,"U6 VDD/VDDQ, right-hand VDD balls (Table 9)"
C33,93.853,15.367,90,0.39,"U6 VDD/VDDQ, left-hand VDD balls (Table 9)"
C34,98.806,22.225,0,0.53,"U6 1.0 uF VDD, above the DRAM (Table 9 note 2)"
C35,103.886,11.576,90,0.52,U6 VPP at ball B1 (Table 9)
C36,93.980,19.304,90,0.26,U6 VPP at ball M9 (Table 9)
U7,109.770,15.300,180,0.00,"byte 6 DRAM, lane 111.3, TL3/TL4 fly-by spacing"
R74,108.750,5.000,270,0.00,"byte 6 15 ohm series for DQ48, above its finger (TL0)"
R76,114.700,5.000,270,0.00,"byte 6 15 ohm series for DQ50, above its finger (TL0)"
R78,107.050,5.000,270,0.00,"byte 6 15 ohm series for DQ52, above its finger (TL0)"
R79,113.000,5.000,270,0.00,"byte 6 15 ohm series for DQ54, above its finger (TL0)"
R83,110.450,5.000,270,0.00,"byte 6 15 ohm series for DM6, above its finger (TL0)"
R84,107.900,7.500,270,0.00,"byte 6 15 ohm series for DQ53, above its finger (TL0)"
R75,109.600,7.500,270,0.00,"byte 6 15 ohm series for DQ49, above its finger (TL0)"
R82,111.075,7.500,270,0.00,"byte 6 15 ohm series for DQS6_C, above its finger (TL0)"
R81,112.375,7.500,270,0.00,"byte 6 15 ohm series for DQS6_T, above its finger (TL0)"
R80,113.850,7.500,270,0.00,"byte 6 15 ohm series for DQ55, above its finger (TL0)"
R77,115.550,7.500,270,0.00,"byte 6 15 ohm series for DQ51, above its finger (TL0)"
R73,104.902,11.684,90,0.47,U7 ZQ 240 ohm at ball B9 (5 pF max load)
C37,114.681,17.145,270,0.40,U7 VREFCA at ball J1 (Table 9)
C38,114.681,13.843,90,0.40,"U7 VDD/VDDQ, right-hand VDD balls (Table 9)"
C39,104.902,15.221,90,0.28,"U7 VDD/VDDQ, left-hand VDD balls (Table 9)"
C40,109.730,22.225,0,0.53,"U7 1.0 uF VDD, above the DRAM (Table 9 note 2)"
C41,114.808,11.557,90,0.51,U7 VPP at ball B1 (Table 9)
C42,104.902,19.304,90,0.27,U7 VPP at ball M9 (Table 9)
U8,120.700,15.300,180,0.00,"byte 7 DRAM, lane 120.7, TL3/TL4 fly-by spacing"
R86,118.100,5.000,270,0.00,"byte 7 15 ohm series for DQ56, above its finger (TL0)"
R88,124.050,5.000,270,0.00,"byte 7 15 ohm series for DQ58, above its finger (TL0)"
R90,116.400,5.000,270,0.00,"byte 7 15 ohm series for DQ60, above its finger (TL0)"
R91,122.350,5.000,270,0.00,"byte 7 15 ohm series for DQ62, above its finger (TL0)"
R95,119.800,5.000,270,0.00,"byte 7 15 ohm series for DM7, above its finger (TL0)"
R96,117.250,7.500,270,0.00,"byte 7 15 ohm series for DQ61, above its finger (TL0)"
R87,118.950,7.500,270,0.00,"byte 7 15 ohm series for DQ57, above its finger (TL0)"
R94,120.425,7.500,270,0.00,"byte 7 15 ohm series for DQS7_C, above its finger (TL0)"
R93,121.725,7.500,270,0.00,"byte 7 15 ohm series for DQS7_T, above its finger (TL0)"
R92,123.200,7.500,270,0.00,"byte 7 15 ohm series for DQ63, above its finger (TL0)"
R89,124.900,7.500,270,0.00,"byte 7 15 ohm series for DQ59, above its finger (TL0)"
R85,115.824,11.684,90,0.47,U8 ZQ 240 ohm at ball B9 (5 pF max load)
C43,125.857,16.764,270,0.57,U8 VREFCA at ball J1 (Table 9)
C44,125.857,14.078,90,0.56,"U8 VDD/VDDQ, right-hand VDD balls (Table 9)"
C45,115.824,15.748,90,0.53,"U8 VDD/VDDQ, left-hand VDD balls (Table 9)"
C46,120.650,21.971,0,0.28,"U8 1.0 uF VDD, above the DRAM (Table 9 note 2)"
C47,126.111,11.430,90,0.82,U8 VPP at ball B1 (Table 9)
C48,115.697,19.304,90,0.40,U8 VPP at ball M9 (Table 9)
U9,66.675,24.000,90,0.00,"SPD, top centre as in the Annex A layout drawing"
C49,64.389,24.003,90,4.81,SPD VDDSPD decoupling
R106,65.825,5.200,0,0.00,"CK1 75 ohm across CK1_t/c, TL0 3.7 +/- 0.8 mm (Annex A p.7)"
C70,68.199,5.207,180,0.01,VTT cap next to the VTT finger (Table 9)
C53,129.200,5.200,90,0.00,VPP cap next to the VPP fingers (Table 9)
C54,4.318,6.604,90,1.41,VREFCA cap next to the VREFCA finger (Table 9)
R97,113.051,23.870,90,0.67,"39 ohm VTT termination after U8, TL5 13.0 mm (Annex A p.10-11)"
R98,114.351,23.870,90,0.67,"39 ohm VTT termination after U8, TL5 13.0 mm (Annex A p.10-11)"
R99,115.651,23.870,90,0.67,"39 ohm VTT termination after U8, TL5 13.0 mm (Annex A p.10-11)"
R100,116.951,23.870,90,0.67,"39 ohm VTT termination after U8, TL5 13.0 mm (Annex A p.10-11)"
R101,118.251,23.870,90,0.67,"39 ohm VTT termination after U8, TL5 13.0 mm (Annex A p.10-11)"
R103,119.551,23.870,90,0.67,"39 ohm VTT termination after U8, TL5 13.0 mm (Annex A p.10-11)"
R104,120.851,23.870,90,0.67,"39 ohm VTT termination after U8, TL5 13.0 mm (Annex A p.10-11)"
R105,122.151,23.870,90,0.67,"39 ohm VTT termination after U8, TL5 13.0 mm (Annex A p.10-11)"
R107,123.451,23.870,90,0.67,"39 ohm VTT termination after U8, TL5 13.0 mm (Annex A p.10-11)"
R108,124.751,23.870,90,0.67,"39 ohm VTT termination after U8, TL5 13.0 mm (Annex A p.10-11)"
R109,126.051,23.870,90,0.67,"39 ohm VTT termination after U8, TL5 13.0 mm (Annex A p.10-11)"
R110,127.351,23.870,90,0.67,"39 ohm VTT termination after U8, TL5 13.0 mm (Annex A p.10-11)"
R111,128.651,23.870,90,0.67,"39 ohm VTT termination after U8, TL5 13.0 mm (Annex A p.10-11)"
R112,113.074,26.918,90,1.32,"39 ohm VTT termination after U8, TL5 13.0 mm (Annex A p.10-11)"
R113,114.374,26.918,90,1.32,"39 ohm VTT termination after U8, TL5 13.0 mm (Annex A p.10-11)"
R114,115.674,26.918,90,1.32,"39 ohm VTT termination after U8, TL5 13.0 mm (Annex A p.10-11)"
R116,116.974,26.918,90,1.32,"39 ohm VTT termination after U8, TL5 13.0 mm (Annex A p.10-11)"
R118,118.274,26.918,90,1.32,"39 ohm VTT termination after U8, TL5 13.0 mm (Annex A p.10-11)"
R119,119.574,26.918,90,1.32,"39 ohm VTT termination after U8, TL5 13.0 mm (Annex A p.10-11)"
R120,120.874,26.918,90,1.32,"39 ohm VTT termination after U8, TL5 13.0 mm (Annex A p.10-11)"
R121,122.174,26.918,90,1.32,"39 ohm VTT termination after U8, TL5 13.0 mm (Annex A p.10-11)"
R122,123.474,26.918,90,1.32,"39 ohm VTT termination after U8, TL5 13.0 mm (Annex A p.10-11)"
R123,124.774,26.918,90,1.32,"39 ohm VTT termination after U8, TL5 13.0 mm (Annex A p.10-11)"
R124,126.074,26.918,90,1.32,"39 ohm VTT termination after U8, TL5 13.0 mm (Annex A p.10-11)"
R125,127.374,26.918,90,1.32,"39 ohm VTT termination after U8, TL5 13.0 mm (Annex A p.10-11)"
R126,128.674,26.918,90,1.32,"39 ohm VTT termination after U8, TL5 13.0 mm (Annex A p.10-11)"
C57,113.074,29.318,90,1.32,"VTT decoupling, 1 per 2 terminations (Table 9)"
C58,114.374,29.318,90,1.32,"VTT decoupling, 1 per 2 terminations (Table 9)"
C59,115.674,29.318,90,1.32,"VTT decoupling, 1 per 2 terminations (Table 9)"
C60,116.974,29.318,90,1.32,"VTT decoupling, 1 per 2 terminations (Table 9)"
C61,118.274,29.318,90,1.32,"VTT decoupling, 1 per 2 terminations (Table 9)"
C62,119.574,29.318,90,1.32,"VTT decoupling, 1 per 2 terminations (Table 9)"
C63,120.874,29.318,90,1.32,"VTT decoupling, 1 per 2 terminations (Table 9)"
C64,122.174,29.318,90,1.32,"VTT decoupling, 1 per 2 terminations (Table 9)"
C65,123.474,29.318,90,1.32,"VTT decoupling, 1 per 2 terminations (Table 9)"
C66,124.774,29.318,90,1.32,"VTT decoupling, 1 per 2 terminations (Table 9)"
C67,126.074,29.318,90,1.32,"VTT decoupling, 1 per 2 terminations (Table 9)"
C68,127.374,29.318,90,1.32,"VTT decoupling, 1 per 2 terminations (Table 9)"
C69,128.674,29.318,90,1.32,"VTT decoupling, 1 per 2 terminations (Table 9)"
R115,126.111,20.447,90,0.12,"CK0_t 39 ohm after U8, TL5 13.0 mm (Annex A p.6)"
R117,127.300,20.500,90,0.00,"CK0_c 39 ohm after U8, TL5 13.0 mm (Annex A p.6)"
C56,128.600,20.500,90,0.00,CK0 0.01 uF to VDD (Annex A p.6)
R102,4.318,20.955,90,0.26,"ALERT_n 47 ohm pull-up to VDD before the first DRAM U1, TL0 2.5 mm (Annex A p.12, main spec 6.3.7)"
C50,50.165,15.240,90,1.37,4.7 uF bulk VDD (Table 9)
C51,80.772,15.367,90,0.43,4.7 uF bulk VDD (Table 9)
C52,25.019,25.527,0,0.03,4.7 uF bulk VDD (Table 9)
C55,100.000,25.500,0,0.00,4.7 uF bulk VDD (Table 9)
